rfid, isPurchased
"0000-0000-0000-0001", true
"0000-0000-0000-0002", true
"0000-0000-0000-0003", true
"0000-0000-0000-0004", true
"0000-0000-0000-0005", true
"0000-0000-0000-0006", true
"0000-0000-0000-0007", true
"0000-0000-0000-0008", true
"0000-0000-0000-0009", true
"0000-0000-0000-0010", false
"0000-0000-0000-0011", true
"0000-0000-0000-0012", true
"0000-0000-0000-0013", true
"0000-0000-0000-0014", true
"0000-0000-0000-0015", true
"0000-0000-0000-0016", true
"0000-0000-0000-0017", true
"0000-0000-0000-0018", true
"0000-0000-0000-0019", true
"0000-0000-0000-0020", false
